VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
0.0,-4.25472e-08,-2.67938e-08,6.667299999999999e-08,-1.39e-07,-1.481e-07
0.04,3.74932e-08,3.0372599999999995e-08,9.318e-08,-3.3762e-07,-3.2514e-07
0.08,-3.80726e-08,-2.05852e-08,5.38808e-08,-1.6064e-07,-1.926e-07
0.12,4.0604e-08,2.45088e-08,4.708e-08,-1.1406e-07,-9.63518e-08
0.16,-2.5587e-08,-1.96032e-08,7.7588e-09,-4.81168e-08,-4.70374e-08
0.2,3.0061999999999995e-08,-3.0585999999999998e-09,-1.93282e-08,-1.80528e-08,-6.0521999999999994e-09
0.24,-2.54812e-08,1.28718e-08,-7.897999999999998e-10,-7.4e-12,-4.4419999999999985e-09
0.28,6.6382e-09,-2.54002e-08,4.793439999999999e-08,2.2383999999999996e-09,-1.1901999999999999e-09
0.32,-7.769e-09,3.81546e-08,3.738e-08,1.0060999999999998e-08,7.804799999999997e-09
0.36,4.596959999999999e-08,-4.1898e-08,3.4607999999999995e-09,1.3933799999999998e-08,1.3503599999999998e-08
0.4,-4.55302e-08,4.35332e-08,-1.62676e-08,2.9889799999999994e-08,3.0031399999999995e-08
0.44,4.52952e-08,-4.20304e-08,-2.9047999999999997e-09,1.028e-07,1.0768e-07
0.48,-4.46152e-08,3.4980999999999994e-08,4.95696e-08,3.6686e-07,3.5866e-07
0.52,3.98466e-08,-2.658e-08,3.534e-08,8.3136e-07,7.9322e-07
0.56,-3.191e-08,1.3865599999999998e-08,1.8389999999999997e-09,1.69e-06,1.6778000000000005e-06
0.6,2.05152e-08,-1.7128e-09,-6.208e-08,3.732e-06,3.601300000000001e-06
0.64,-4.975399999999998e-09,-7.4554e-09,6.68e-08,7.8065e-06,7.307e-06
0.68,-2.3524e-09,1.82616e-08,1.29234e-08,1.5952e-05,1.4278e-05
0.72,1.05972e-08,-3.16996e-08,-2.7654e-08,3.2782e-05,2.6996e-05
0.76,-2.01354e-08,4.04718e-08,-4.98946e-08,6.6946e-05,4.7318e-05
0.8,3.65178e-08,-4.22382e-08,6.074e-08,0.00013308,7.391e-05
0.84,-4.262279999999999e-08,4.50242e-08,6.08e-08,0.00025246,9.9822e-05
0.88,4.47664e-08,-4.49146e-08,1.53488e-08,0.0004498,0.00014944
0.92,-4.70554e-08,4.29928e-08,5.95448e-08,0.000743,0.0002427
0.96,4.8042e-08,-3.48402e-08,3.66e-08,0.0011368,0.00025386
1.0,-4.4955e-08,2.83154e-08,2.9994e-09,0.0016236,0.00030364
1.04,3.07408e-08,-1.4288199999999998e-08,-1.5806e-08,0.0021922,0.00040668
1.08,-1.4614399999999998e-08,4.0485999999999994e-09,-3.2211999999999996e-09,0.0028262,0.00052442
1.12,4.45362e-08,2.31522e-08,5.01106e-08,0.00351,0.00066116
1.16,-3.5753599999999995e-08,-3.68608e-08,-1.17606e-08,0.004237,0.00082528
1.2,2.9891399999999995e-08,4.19696e-08,1.5747999999999996e-09,0.0050092,0.0010255
1.24,-2.32732e-08,-4.347e-08,-3.3451999999999996e-09,0.0058052,0.0012642
1.28,4.37868e-08,4.46696e-08,-4.397739999999999e-08,0.006618,0.00152
